model_family,Model,model_name,MAX_CANDS,user_bin,nDCG10_mean,nDCG10_std,HR10_mean,HR10_std,MRR10_mean,MRR10_std,n_users,n_interactions,feasible_cases,total_cases,n_seeds_success,bin_rule,nDCG@10,HR@10,MRR@10
CBF,CBF-wangchanberta-base-att-spm-uncased,wangchanberta-base-att-spm-uncased,200,heavy,0.7014949751592028,0.2816384594585335,1.0,0.0,0.6077116402116403,0.36650011031198215,6,21.666666666666668,30,30,5,"≤12,13–19,≥20",0.7015±0.2816,1.0000,0.6077
CBF,CBF-wangchanberta-base-att-spm-uncased,wangchanberta-base-att-spm-uncased,200,mid,0.7080694709069996,0.3085206659999104,0.9513513513513514,0.2157162256571139,0.6305512655512656,0.3730258302021954,37,15.837837837837839,185,185,5,"≤12,13–19,≥20",0.7081±0.3085,0.9514,0.6306
CF,CF-ItemKNN,ItemKNN,50,cold,0.4141246015973469,0.2977947592213921,0.7522123893805309,0.4321103880201024,0.3067594340993612,0.28993756623121786,113,4.707964601769912,565,565,5,"≤12,13–19,≥20",0.4141±0.2978,0.7522,0.3068
CF,CF-ItemKNN,ItemKNN,50,heavy,0.494687727731132,0.35150702416160645,0.8,0.40683810217248617,0.4003968253968254,0.376419477457473,6,21.666666666666668,30,30,5,"≤12,13–19,≥20",0.4947±0.3515,0.8000,0.4004
CF,CF-ItemKNN,ItemKNN,50,mid,0.3962257880696199,0.30745948547560065,0.7675675675675676,0.4235294597666694,0.28472543972543973,0.3181486728136572,37,15.837837837837839,185,185,5,"≤12,13–19,≥20",0.3962±0.3075,0.7676,0.2847
CF,CF-ItemKNN,ItemKNN,100,cold,0.39051862545719634,0.2982739598346504,0.720353982300885,0.44922298796263493,0.28605997933376764,0.28392604549058587,113,4.707964601769912,565,565,5,"≤12,13–19,≥20",0.3905±0.2983,0.7204,0.2861
CF,CF-ItemKNN,ItemKNN,100,heavy,0.4846234648765184,0.3614085347517266,0.7666666666666667,0.43018306715207627,0.39666666666666667,0.3799299189258713,6,21.666666666666668,30,30,5,"≤12,13–19,≥20",0.4846±0.3614,0.7667,0.3967
CF,CF-ItemKNN,ItemKNN,100,mid,0.3811063842452019,0.31878677650277476,0.7297297297297297,0.4453045274968195,0.2769197769197769,0.32625466216477284,37,15.837837837837839,185,185,5,"≤12,13–19,≥20",0.3811±0.3188,0.7297,0.2769
CF,CF-ItemKNN,ItemKNN,200,cold,0.3957672758099676,0.30363632740036156,0.7238938053097345,0.4474661396681327,0.29212386100615917,0.2933995782658534,113,4.707964601769912,565,565,5,"≤12,13–19,≥20",0.3958±0.3036,0.7239,0.2921
CF,CF-ItemKNN,ItemKNN,200,heavy,0.48953101115377956,0.3509209927237347,0.8,0.40683810217248617,0.394021164021164,0.37668681464992415,6,21.666666666666668,30,30,5,"≤12,13–19,≥20",0.4895±0.3509,0.8000,0.3940
