Model,Seed,MAX_CANDS,best_b_cbf,coverage_rate,feasible_nDCG@10,feasible_HR@10,feasible_MRR@10,feasible_cases,total_cases,best_b,cbf_model,cf_model,blend_method,method_params,is_selected_best,blend_params,explanation_type,explanation_distribution,reason_th,topk_longtail_rate_mean_x,topk_avg_popularity_mean_x,coverage_item_catalog_rate,faithfulness_mean_rank_drop,model_family,model_name,run_id,config_hash,xai_conf_mean,xai_coverage_rate_topk,xai_balanced_rate,xai_faithfulness_drop_mean,topk_longtail_rate_mean_y,topk_avg_popularity_mean_y,ndcg_cold_mean,ndcg_heavy_mean,ndcg_mid_mean,hr_cold_mean,hr_heavy_mean,hr_mid_mean,mrr_cold_mean,mrr_heavy_mean,mrr_mid_mean
CBF-multilingual-e5-large,42,200,0.1,1.0,0.8488008138574653,1.0,0.7992852055352054,156,156,,,,,,True,,,,,,,,,CBF,multilingual-e5-large,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-multilingual-e5-large,123,200,0.1,1.0,0.851086801488404,0.9935897435897436,0.8035078347578346,156,156,,,,,,True,,,,,,,,,CBF,multilingual-e5-large,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-multilingual-e5-large,999,200,0.1,1.0,0.8725404800643676,0.9935897435897436,0.8331883394383394,156,156,,,,,,True,,,,,,,,,CBF,multilingual-e5-large,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-multilingual-e5-large,2024,200,0.05,1.0,0.8677586319902135,0.9935897435897436,0.8261014448514448,156,156,,,,,,True,,,,,,,,,CBF,multilingual-e5-large,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-multilingual-e5-large,555,200,0.1,1.0,0.869024810771565,1.0,0.8259437321937322,156,156,,,,,,True,,,,,,,,,CBF,multilingual-e5-large,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-bge-m3,42,50,0.2,1.0,0.8645579614877684,1.0,0.8195589133089133,156,156,,,,,,True,,,,,,,,,CBF,bge-m3,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-bge-m3,123,50,0.2,1.0,0.839793634061499,0.9935897435897436,0.7895451770451769,156,156,,,,,,True,,,,,,,,,CBF,bge-m3,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-bge-m3,999,50,0.15,1.0,0.8667365665856887,0.9871794871794872,0.8260149572649573,156,156,,,,,,True,,,,,,,,,CBF,bge-m3,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-bge-m3,2024,50,0.15,1.0,0.8577054314658722,1.0,0.8118309930809932,156,156,,,,,,True,,,,,,,,,CBF,bge-m3,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-bge-m3,555,50,0.15,1.0,0.8766266644843282,0.9935897435897436,0.8379985754985756,156,156,,,,,,True,,,,,,,,,CBF,bge-m3,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-bge-m3,42,100,0.15,1.0,0.8533059589875194,0.9935897435897436,0.8083180708180708,156,156,,,,,,True,,,,,,,,,CBF,bge-m3,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-bge-m3,123,100,0.15,1.0,0.8617446465647222,0.9935897435897436,0.8170482295482296,156,156,,,,,,True,,,,,,,,,CBF,bge-m3,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-bge-m3,999,100,0.15,1.0,0.8793770251441287,0.9935897435897436,0.8410968660968661,156,156,,,,,,True,,,,,,,,,CBF,bge-m3,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-bge-m3,2024,100,0.2,1.0,0.830828092852237,0.967948717948718,0.785370879120879,156,156,,,,,,True,,,,,,,,,CBF,bge-m3,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-bge-m3,555,100,0.15,1.0,0.8587661984881427,0.9871794871794872,0.8165140415140415,156,156,,,,,,True,,,,,,,,,CBF,bge-m3,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-bge-m3,42,200,0.3,1.0,0.8380313964328892,1.0,0.785228428978429,156,156,,,,,,True,,,,,,,,,CBF,bge-m3,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-bge-m3,123,200,0.3,1.0,0.8691700693874003,1.0,0.8261828449328448,156,156,,,,,,True,,,,,,,,,CBF,bge-m3,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-bge-m3,999,200,0.2,1.0,0.8750549407098757,1.0,0.8345161782661782,156,156,,,,,,True,,,,,,,,,CBF,bge-m3,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-bge-m3,2024,200,0.2,1.0,0.8732690087967477,0.9871794871794872,0.8361645299145299,156,156,,,,,,True,,,,,,,,,CBF,bge-m3,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-bge-m3,555,200,0.15,1.0,0.8608847941183526,1.0,0.8156669719169718,156,156,,,,,,True,,,,,,,,,CBF,bge-m3,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-Qwen2-0.5B,42,50,0.05,1.0,0.7559693161218566,0.9743589743589743,0.6861670736670737,156,156,,,,,,True,,,,,,,,,CBF,Qwen2-0.5B,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-Qwen2-0.5B,123,50,0.05,1.0,0.6797828879391704,0.9615384615384616,0.590628815628816,156,156,,,,,,True,,,,,,,,,CBF,Qwen2-0.5B,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-Qwen2-0.5B,999,50,0.05,1.0,0.7020645071377659,0.9615384615384616,0.6185744810744811,156,156,,,,,,True,,,,,,,,,CBF,Qwen2-0.5B,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-Qwen2-0.5B,2024,50,0.05,1.0,0.6732821342028229,0.9615384615384616,0.5833521179675026,156,156,,,,,,True,,,,,,,,,CBF,Qwen2-0.5B,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-Qwen2-0.5B,555,50,0.05,1.0,0.7346202706604468,0.9615384615384616,0.6635276760276761,156,156,,,,,,True,,,,,,,,,CBF,Qwen2-0.5B,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-Qwen2-0.5B,42,100,0.05,1.0,0.7366031606223603,0.9358974358974359,0.6722120472120471,156,156,,,,,,True,,,,,,,,,CBF,Qwen2-0.5B,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-Qwen2-0.5B,123,100,0.05,1.0,0.6820145015893514,0.9551282051282052,0.5952380952380955,156,156,,,,,,True,,,,,,,,,CBF,Qwen2-0.5B,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-Qwen2-0.5B,999,100,0.05,1.0,0.7297123041114505,0.9871794871794872,0.6482885170385171,156,156,,,,,,True,,,,,,,,,CBF,Qwen2-0.5B,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
